Date,Grade,Caliper,Width,Tons,Plant
04-Nov-15,CRB,.016,25.750,0.651012305,Hamel
18-Jun-15,CRB,.016,25.750,0.703481953,Hamel
10-Sep-15,CRB,.016,25.750,0.639352383,Hamel
10-Sep-15,CRB,.016,25.750,0.664615547,Hamel
16-Nov-15,CRB,.016,25.750,0.649068984,Hamel
21-Sep-15,CRB,.016,25.750,0.645182344,Hamel
19-Jun-15,CRB,.016,25.750,0.699595313,Hamel
19-Oct-15,CRB,.016,25.750,0.639352383,Hamel
29-Sep-15,CRB,.016,25.750,0.658785586,Hamel
29-Sep-15,CRB,.016,25.750,0.652955625,Hamel
29-Sep-15,CRB,.016,25.750,0.656842266,Hamel
29-Sep-15,CRB,.016,25.750,0.658785586,Hamel
29-Sep-15,CRB,.016,25.750,0.656842266,Hamel
29-Sep-15,CRB,.016,25.750,0.654898945,Hamel
29-Sep-15,CRB,.016,25.750,0.658785586,Hamel
29-Sep-15,CRB,.016,25.750,0.652955625,Hamel
29-Sep-15,CRB,.016,25.750,0.658785586,Hamel
21-Sep-15,CRB,.016,25.750,0.652955625,Hamel
10-Oct-15,CRB,.016,25.750,0.582996094,Hamel
29-Sep-15,CRB,.016,25.750,0.654898945,Hamel
29-Sep-15,CRB,.016,25.750,0.647125664,Hamel
22-Sep-15,CRB,.016,25.750,0.660728906,Hamel
22-Sep-15,CRB,.016,25.750,0.660728906,Hamel
22-Sep-15,CRB,.016,25.750,0.649068984,Hamel
19-Oct-15,CRB,.016,25.750,0.637409063,Hamel
19-Oct-15,CRB,.016,25.750,0.629635781,Hamel
19-Oct-15,CRB,.016,25.750,0.637409063,Hamel
29-Sep-15,CRB,.016,25.750,0.656842266,Hamel
29-Sep-15,CRB,.016,25.750,0.658785586,Hamel
29-Sep-15,CRB,.016,25.750,0.651012305,Hamel
14-Dec-15,CRB,.016,25.750,0.629635781,Hamel
14-Dec-15,CRB,.016,25.750,0.627692461,Hamel
14-Dec-15,CRB,.016,25.750,0.330364453,Hamel
29-Sep-15,CRB,.016,25.750,0.656842266,Hamel
29-Sep-15,CRB,.016,25.750,0.654898945,Hamel
21-Sep-15,CRB,.016,25.750,0.656842266,Hamel
19-Oct-15,CRB,.016,25.750,0.639352383,Hamel
18-Jul-15,CRB,.016,25.750,0.631579102,Hamel
29-Apr-15,CRB,.016,25.750,0.68599207,Hamel
29-Apr-15,CRB,.016,25.750,0.701538633,Hamel
26-May-15,CRB,.016,25.750,0.693765352,Hamel
18-Jul-15,CRB,.016,25.750,0.637409063,Hamel
29-Apr-15,CRB,.016,25.750,0.711255234,Hamel
18-Jul-15,CRB,.016,25.750,0.647125664,Hamel
18-Jul-15,CRB,.016,25.750,0.647125664,Hamel
20-Jul-15,CRB,.016,25.750,0.635465742,Hamel
19-Jun-15,CRB,.016,25.750,0.707368594,Hamel
20-Feb-15,CRB,.016,25.750,0.691822031,Hamel
20-Feb-15,CRB,.016,25.750,0.689878711,Hamel
18-Jul-15,CRB,.016,25.750,0.647125664,Hamel
16-Mar-15,CRB,.016,25.750,0.701538633,Hamel
29-Apr-15,CRB,.016,25.750,0.717085195,Hamel
21-Aug-15,CRB,.016,25.750,0.645182344,Hamel
24-Aug-15,CRB,.016,25.750,0.652955625,Hamel
29-Apr-15,CRB,.016,25.750,0.666558867,Hamel
29-Apr-15,CRB,.016,25.750,0.715141875,Hamel
20-Jul-15,CRB,.016,25.750,0.629635781,Hamel
20-Jul-15,CRB,.016,25.750,0.633522422,Hamel
20-Jul-15,CRB,.016,25.750,0.680162109,Hamel
21-Sep-15,CRB,.016,25.750,0.652955625,Hamel
10-Sep-15,CRB,.016,25.750,0.652955625,Hamel
03-Mar-15,CRB,.016,25.750,0.68404875,Hamel
29-Apr-15,CRB,.016,25.750,0.719028516,Hamel
29-Apr-15,CRB,.016,25.750,0.68404875,Hamel
19-Jun-15,CRB,.016,25.750,0.703481953,Hamel
26-May-15,CRB,.016,25.750,0.68599207,Hamel
19-Jun-15,CRB,.016,25.750,0.695708672,Hamel
18-Jun-15,CRB,.016,25.750,0.68404875,Hamel
19-Jun-15,CRB,.016,25.750,0.699595313,Hamel
19-Jun-15,CRB,.016,25.750,0.703481953,Hamel
29-Sep-15,CRB,.016,25.750,0.656842266,Hamel
16-Mar-15,CRB,.016,25.750,0.711255234,Hamel
16-Mar-15,CRB,.016,25.750,0.711255234,Hamel
29-Sep-15,CRB,.016,25.750,0.651012305,Hamel
03-Mar-15,CRB,.016,25.750,0.699595313,Hamel
03-Mar-15,CRB,.016,25.750,0.590769375,Hamel
18-Jul-15,CRB,.016,25.750,0.641295703,Hamel
19-Jun-15,CRB,.016,25.750,0.699595313,Hamel
29-Sep-15,CRB,.016,25.750,0.652955625,Hamel
29-Apr-15,CRB,.016,25.750,0.711255234,Hamel
19-Oct-15,CRB,.016,25.750,0.651012305,Hamel
29-Apr-15,CRB,.016,25.750,0.711255234,Hamel
10-Oct-15,CRB,.016,25.750,0.582996094,Hamel
19-Oct-15,CRB,.016,25.750,0.639352383,Hamel
29-Apr-15,CRB,.016,25.750,0.719028516,Hamel
03-Mar-15,CRB,.016,25.750,0.693765352,Hamel
03-Mar-15,CRB,.016,25.750,0.705425273,Hamel
16-Mar-15,CRB,.016,25.750,0.713198555,Hamel
20-Jul-15,CRB,.016,25.750,0.680162109,Hamel
19-Jun-15,CRB,.016,25.750,0.707368594,Hamel
18-Jun-15,CRB,.016,25.750,0.705425273,Hamel
20-Jul-15,CRB,.016,25.750,0.635465742,Hamel
16-Mar-15,CRB,.016,25.750,0.695708672,Hamel
16-Mar-15,CRB,.016,25.750,0.695708672,Hamel
16-Mar-15,CRB,.016,25.750,0.709311914,Hamel
16-Mar-15,CRB,.016,25.750,0.701538633,Hamel
20-Jul-15,CRB,.016,25.750,0.635465742,Hamel
10-Sep-15,CRB,.016,25.750,0.654898945,Hamel
21-Sep-15,CRB,.016,25.750,0.649068984,Hamel
21-Aug-15,CRB,.016,25.750,0.651012305,Hamel
21-Sep-15,CRB,.016,25.750,0.656842266,Hamel
20-Feb-15,CRB,.016,25.750,0.680162109,Hamel
29-Apr-15,CRB,.016,25.750,0.717085195,Hamel
29-Apr-15,CRB,.016,25.750,0.693765352,Hamel
03-Mar-15,CRB,.016,25.750,0.695708672,Hamel
16-Mar-15,CRB,.016,25.750,0.709311914,Hamel
29-Apr-15,CRB,.016,25.750,0.493603359,Hamel
