Date,Grade,Caliper,Width,Tons,Plant,Mill
8/3/2015,NB,16-0,32.125,3.7035,"GPI-MITCHELL,SD",Kalamazoo
8/3/2015,NB,16-0,33.375,23.9745,"GPI-STONE MOUNTAIN,GA",Middletown
8/3/2015,NB,16-0,39.25,45.319,"GPI-MITCHELL,SD",Kalamazoo
8/3/2015,NB,16-0,39.4375,9.321,"GPI-STONE MOUNTAIN,GA",Middletown
8/3/2015,NB,16-0,39.8125,119.772,"GPI-CAROL STREAM,IL",Middletown
8/3/2015,NB,16-0,42.625,49.693,"GPI-CAROL STREAM,IL",Middletown
8/3/2015,NB,16-0,44,20.1415,"GPI-ELK GROVE VILLAGE,IL",Middletown
8/3/2015,NB,16-0,45.5,10.6275,"GPI-CHARLOTTE,NC",Kalamazoo
8/3/2015,NB,16-0,45.5,13.3105,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/3/2015,NB,16-0,45.5,75.749,"GPI-TUSCALOOSA,AL",Kalamazoo
8/3/2015,NB,16-0,50,77.7065,"GPI-LAWRENCEBURG,TN",Kalamazoo
8/3/2015,NB,16-0,50,17.5095,"GPI-SOLON,OH",Kalamazoo
8/3/2015,NB,16-0,54.625,7.75,"GPI-CHARLOTTE,NC",Kalamazoo
8/3/2015,NB,18-0,26.25,15.6175,"GPI-MARION,OH",Battle Creek
8/3/2015,NB,18-0,30,1.598,"GPI-GORDONSVILLE,TN",Kalamazoo
8/3/2015,NB,18-0,30,13.576,"GPI-KALAMAZOO,MI",Kalamazoo
8/3/2015,NB,18-0,30.5,82.7425,"GPI-KALAMAZOO,MI",Kalamazoo
8/3/2015,NB,18-0,32.125,11.1435,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/3/2015,NB,18-0,33.4375,89.211,"GPI-CENTRALIA,IL",Kalamazoo
8/3/2015,NB,18-0,34.25,13.8835,"GPI-CHARLOTTE,NC",Kalamazoo
8/3/2015,NB,18-0,35.375,12.225,"GPI-CHARLOTTE,NC",Kalamazoo
8/3/2015,NB,18-0,37.5,14.998,"GPI-KALAMAZOO,MI",Battle Creek
8/3/2015,NB,18-0,39.625,60.122,"GPI-CENTRALIA,IL",Kalamazoo
8/3/2015,NB,18-0,39.625,13.038,"GPI-MITCHELL,SD",Kalamazoo
8/3/2015,NB,18-0,42.25,8.156,"GPI-KALAMAZOO,MI",Kalamazoo
8/3/2015,NB,18-0,42.5,81.4655,GPI-WINNIPEG,Kalamazoo
8/3/2015,NB,18-0,44.75,22.796,"GPI-CAROL STREAM,IL",Kalamazoo
8/3/2015,NB,18-0,45.375,9.6755,"GPI-SOLON,OH",Kalamazoo
8/3/2015,NB,18-0,45.75,4.988,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/3/2015,NB,18-0,46.75,9.9595,"GPI-CHARLOTTE,NC",Kalamazoo
8/3/2015,NB,18-0,46.75,7.664,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/3/2015,NB,18-0,47.6875,19.513,"GPI-OAKS,PA",Battle Creek
8/3/2015,NB,18-0,56.375,16.411,"GPI-MENASHA,WI",Kalamazoo
8/3/2015,NB,24-0,21.625,4.92,"GPI-OAKS,PA",Kalamazoo
8/3/2015,NB,24-0,34.1875,5.67,"GPI-CENTRALIA,IL",Kalamazoo
8/3/2015,NB,24-0,34.375,118.8695,"GPI-KALAMAZOO,MI",Kalamazoo
8/3/2015,NB,24-0,34.625,3.688,"GPI-MENASHA,WI",Kalamazoo
8/3/2015,NB,24-0,35.875,12.212,"GPI-MENASHA,WI",Kalamazoo
8/3/2015,NB,24-1,36.875,93.042,"GPI-MISSISSAUGA,ON",Kalamazoo
8/3/2015,NB,24-0,39.5625,1.886,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/3/2015,NB,24-0,39.5625,17.96,"GPI-STONE MOUNTAIN,GA",Kalamazoo
8/3/2015,NB,24-0,70.375,39.3025,"GPI-MENASHA,WI",Kalamazoo
8/3/2015,NB HS,18-0,25.9375,15.3265,"GPI-KENDALLVILLE,IN",Battle Creek
8/3/2015,NB HS,18-0,41.1875,29.7555,"GPI-KALAMAZOO,MI",Battle Creek
8/4/2015,KB SIZE,16-0,32.75,18.395,"GPI-IRVINE,CA",Santa Clara
8/4/2015,KB SIZE,18-1,31.625,39.97,"GPI-VANCOUVER,WA",Santa Clara
8/4/2015,KB SIZE,18-1,38.75,10.765,"GPI-VANCOUVER,WA",Santa Clara
8/4/2015,KB SIZE,18-1,39.5,16.155,"GPI-VANCOUVER,WA",Santa Clara
8/4/2015,KB SIZE,18-1,43.5,28.755,"GPI-GRESHAM,OR",Santa Clara
8/4/2015,KB SIZE,18-1,52.9375,7.1475,"GPI-GRESHAM,OR",Santa Clara
8/4/2015,NB,16-0,25.25,26.144,"GPI-MITCHELL,SD",Battle Creek
8/4/2015,NB,16-0,39.8125,53.635,"GPI-CAROL STREAM,IL",Middletown
8/4/2015,NB,18-0,34.3125,127.3275,"GPI-MITCHELL,SD",Middletown
8/4/2015,NB,18-0,34.3125,5.9115,"GPI-PACIFIC,MO",Middletown
8/4/2015,NB,18-0,36.125,6.39,"GPI-STONE MOUNTAIN,GA",Middletown
8/4/2015,NB,18-0,41.375,29.101,"GPI-CAROL STREAM,IL",Middletown
8/4/2015,NB,18-0,46.875,66.0665,"GPI-LUMBERTON,NC",Middletown
8/4/2015,NB,18-0,49.3125,16.719,"GPI-STONE MOUNTAIN,GA",Middletown
8/4/2015,NB,18-0,53.125,49.6,"GPI-CAROL STREAM,IL",Middletown
8/4/2015,NB,20-0,36.25,22,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
8/4/2015,NB,20-0,46.75,54.983,"GPI-TUSCALOOSA,AL",Battle Creek
8/4/2015,NB,22-0,28.125,50.7465,"GPI-KALAMAZOO,MI",Kalamazoo
8/4/2015,NB,22-0,29.5,103.004,"GPI-KALAMAZOO,MI",Kalamazoo
8/4/2015,NB,22-0,30.75,51.5865,"GPI-KALAMAZOO,MI",Kalamazoo
8/4/2015,NB,24-0,33.0625,52.072,"GPI-KALAMAZOO,MI",Kalamazoo
8/4/2015,NB,24-0,34.375,35.2065,"GPI-KALAMAZOO,MI",Kalamazoo
8/4/2015,NB,24-0,43.375,34.158,"GPI-LUMBERTON,NC",Kalamazoo
8/4/2015,NB SIZE,16-0,30.125,17.8565,"GPI-STONE MOUNTAIN,GA",Battle Creek
8/4/2015,NB SIZE,16-0,32.625,65.848,"GPI-STONE MOUNTAIN,GA",Battle Creek
8/4/2015,NB SIZE,16-0,33.3125,13.011,"GPI-STONE MOUNTAIN,GA",Battle Creek
8/5/2015,KB SIZE,18-1,31.625,11.1175,"GPI-VANCOUVER,WA",Santa Clara
8/5/2015,KB SIZE,18-1,38.75,4.38,"GPI-VANCOUVER,WA",Santa Clara
8/5/2015,KB SIZE,18-1,39.5,36.1975,"GPI-VANCOUVER,WA",Santa Clara
8/5/2015,KB SIZE,18-1,43.5,12.4175,"GPI-GRESHAM,OR",Santa Clara
8/5/2015,KB SIZE,18-1,52.9375,9.2025,"GPI-GRESHAM,OR",Santa Clara
8/5/2015,KB WSSZ,19-0,25.125,18.44,"GPI-OROVILLE,CA",Santa Clara
8/5/2015,KB WSSZ,19-0,29.5625,126.1975,"GPI-OROVILLE,CA",Santa Clara
8/5/2015,KB WSSZ,19-0,31.0625,48.2575,"GPI-OROVILLE,CA",Santa Clara
8/5/2015,KB WSSZ,19-0,39.375,76.2075,"GPI-OROVILLE,CA",Santa Clara
8/5/2015,KB WSSZ,19-0,40.3125,32.1575,"GPI-OROVILLE,CA",Santa Clara
8/5/2015,NB,18-0,33.9375,19.9915,"GPI-ELK GROVE VILLAGE,IL",Middletown
8/5/2015,NB,18-0,34.125,30.739,"GPI-CAROL STREAM,IL",Middletown
8/5/2015,NB,18-0,35.5,8.0545,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
8/5/2015,NB,18-0,53.125,6.1345,"GPI-CAROL STREAM,IL",Middletown
8/5/2015,NB,18-0,58.125,20.5725,"GPI-FORT SMITH,AR",Middletown
8/5/2015,NB,19-0,24.5625,39.317,"GPI-KENDALLVILLE,IN",Middletown
8/5/2015,NB,19-0,37.8125,20.8905,"GPI-CAROL STREAM,IL",Middletown
8/5/2015,NB,20-0,27,44.074,"GPI-KENDALLVILLE,IN",Kalamazoo
8/5/2015,NB,20-0,27.5,36.545,"GPI-OAKS,PA",Kalamazoo
8/5/2015,NB,20-0,28.5625,59.6015,"GPI-KENDALLVILLE,IN",Middletown
8/5/2015,NB,20-0,29.3125,117.354,"GPI-KALAMAZOO,MI",Kalamazoo
8/5/2015,NB,20-0,29.75,19.144,"GPI-KENDALLVILLE,IN",Kalamazoo
8/5/2015,NB,20-0,30.125,47.9155,"GPI-KENDALLVILLE,IN",Kalamazoo
8/5/2015,NB,20-0,30.3125,19.5065,"GPI-KENDALLVILLE,IN",Kalamazoo
8/5/2015,NB,20-0,30.75,41.7965,"GPI-KENDALLVILLE,IN",Kalamazoo
8/5/2015,NB,20-0,36.375,29.2295,"GPI-MITCHELL,SD",Kalamazoo
8/5/2015,NB,20-0,37.125,34.368,"GPI-OAKS,PA",Middletown
8/5/2015,NB,20-0,40.3125,46.163,"GPI-KALAMAZOO,MI",Kalamazoo
8/5/2015,NB,20-0,40.3125,9.1575,"GPI-PACIFIC,MO",Middletown
8/5/2015,NB,20-0,40.5,128.6075,"GPI-KALAMAZOO,MI",Kalamazoo
8/5/2015,NB,20-0,40.75,9.426,"GPI-KALAMAZOO,MI",Kalamazoo
8/5/2015,NB,20-0,41.0625,26.425,"GPI-KALAMAZOO,MI",Kalamazoo
8/5/2015,NB,20-0,42.5,50.267,"GPI-TUSCALOOSA,AL",Kalamazoo
8/5/2015,NB,20-0,43,16.744,"GPI-PACIFIC,MO",Middletown
8/5/2015,NB,20-0,49.375,10.981,"GPI-LUMBERTON,NC",Middletown
8/5/2015,NB,20-0,56.4375,12.867,"GPI-PACIFIC,MO",Middletown
8/5/2015,NB,20-0,58.9375,45.441,"GPI-PACIFIC,MO",Middletown
8/5/2015,NB,20-0,61,3.1105,"GPI-PACIFIC,MO",Middletown
8/5/2015,NB,24-0,33.0625,37.044,"GPI-KALAMAZOO,MI",Kalamazoo
8/5/2015,NB,24-0,34.375,11.7255,"GPI-KALAMAZOO,MI",Kalamazoo
8/5/2015,NB,24-0,34.6875,29.038,"GPI-KALAMAZOO,MI",Kalamazoo
8/5/2015,NB,24-0,35.4375,29.621,"GPI-KALAMAZOO,MI",Kalamazoo
8/5/2015,NB,24-0,43.375,24.2985,"GPI-LUMBERTON,NC",Kalamazoo
8/5/2015,NB,26-1,37.75,8.488,"GPI-MITCHELL,SD",Kalamazoo
8/5/2015,NB,26-1,45.125,2.5645,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/5/2015,NB,28-1,36.125,14.05,"GPI-MENASHA,WI",Kalamazoo
8/5/2015,NB,28-1,36.125,10.114,"GPI-MISSISSAUGA,ON",Kalamazoo
8/5/2015,NB,28-1,43.625,2.479,"GPI-TUSCALOOSA,AL",Kalamazoo
8/5/2015,NB,28-1,44.25,7.5505,"GPI-WAUSAU,WI",Kalamazoo
8/5/2015,NB,28-1,57.75,32.5,"GPI-TUSCALOOSA,AL",Kalamazoo
8/6/2015,KB SIZE,20-0,28.9375,111.5135,"GPI-MARION,OH",Battle Creek
8/6/2015,KB WSSZ,19-0,31.0625,211.355,"GPI-OROVILLE,CA",Santa Clara
